time,RSSI
1665,93
1768,93
1871,93
1975,93
2078,93
2182,93
2286,93
2389,93
2492,93
2595,93
2698,93
2805,93
2909,93
3014,93
3117,93
3221,93
3325,93
3428,93
3532,93
3635,93
3738,93
3842,93
3944,93
4048,93
4152,93
4255,93
4359,93
4462,93
4566,93
4668,93
4772,93
4877,93
4981,93
5084,93
5188,93
5292,93
5396,93
5499,93
5602,93
5705,93
5808,93
5911,92
6016,92
6119,92
6222,92
6326,92
6431,92
6534,92
6638,92
6742,92
6846,92
6949,92
7053,92
7156,92
7259,92
7363,92
7466,92
7569,92
7672,92
7775,92
7878,92
7981,91
8084,91
8188,91
8292,91
8396,91
8500,91
8603,91
8706,91
8811,91
8916,91
9019,91
9122,91
9226,91
9329,91
9432,91
9535,91
9639,91
9742,91
9845,91
9948,91
10052,91
10157,91
10261,91
time,RSSI
-13887848245589,95
-13887848245487,95
-13887848245383,91
-13887848245281,91
-13887848245178,91
-13887848245076,91
-13887848244973,91
-13887848244870,91
-13887848244766,91
-13887848244663,91
-13887848244560,91
-13887848244457,91
-13887848244354,91
-13887848244251,91
-13887848244149,91
-13887848244046,91
-13887848243943,91
-13887848243840,91
-13887848243737,91
-13887848243634,91
-13887848243530,91
-13887848243427,91
-13887848243323,93
-13887848243218,93
-13887848243115,93
-13887848243011,93
-13887848242908,93
-13887848242804,93
-13887848242701,93
-13887848242598,93
-13887848242494,93
time,RSSI
1,92
105,92
209,92
313,92
417,92
522,92
625,92
730,92
834,93
938,93
1042,93
1146,93
1251,93
1356,93
1459,93
1563,93
1668,93
1772,93
1876,93
1980,93
2084,93
2188,93
2292,93
2396,93
2500,93
2605,93
2708,93
2812,93
2915,93
3021,93
3125,93
3229,93
3333,93
3437,93
3541,93
3645,93
3749,93
3852,93
3956,93
4060,93
4164,93
4270,93
4374,93
4478,93
4582,93
4686,93
4790,93
4893,93
4997,93
5102,93
5206,93
5310,93
time,RSSI
0,93
107,93
210,93
314,93
418,93
523,93
626,93
731,93
836,93
941,93
1044,93
1149,93
1255,93
1358,93
1462,93
1566,93
1674,93
1778,93
1882,93
1986,93
2089,93
2191,93
2294,93
2399,93
2501,93
2605,93
2710,93
2814,93
2916,93
3020,93
3123,93
3226,93
3330,93
3434,93
3537,93
3639,93
3742,93
3845,93
3948,93
4050,93
4154,93
4258,93
4360,93
4463,93
4566,93
4670,93
4773,93
4876,93
4980,93
5084,93
5187,93
5290,93
5395,93
5498,93
5602,93
5706,93
5810,93
5912,93
6016,93
6120,93
6224,93
6327,93
6431,93
6537,93
6639,93
6742,93
6845,93
6948,93
7052,93
7156,93
7259,93
7363,93
7466,93
7569,93
7673,93
7775,93
7878,93
7981,93
8085,93
8188,93
8292,93
8397,93
8500,93
8603,93
8706,93
8809,93
8911,93
9014,93
9118,93
9222,93
9325,93
9428,93
9532,93
9634,93
9737,93
9841,93
9945,93
10048,93
10152,93
10255,93
time,RSSI
1,91
106,91
208,91
311,91
413,91
516,91
618,91
720,91
822,91
924,91
1026,91
1128,91
1230,91
1332,91
1434,91
1537,91
1638,91
1741,91
1843,91
1945,93
2048,93
2150,93
2252,93
2355,93
2458,93
2560,93
2663,93
2765,93
2867,93
2969,93
3071,93
3174,93
3276,93
3378,93
3480,93
3584,93
3686,93
3789,93
3891,93
3994,93
4097,93
4202,93
4305,93
4407,93
4508,93
4611,93
4715,93
4818,93
4919,93
5021,93
5123,93
5225,93
5327,93
5431,93
5533,93
5637,93
5740,93
5842,93
5944,93
6047,93
6148,93
6250,93
6352,93
6455,93
6557,93
6659,93
6761,93
6863,93
6965,93
7067,93
7170,93
7273,93
7376,93
7478,93
7580,93
7681,93
7783,93
7885,93
7987,93
8089,92
8192,92
8294,92
8398,92
8500,92
8602,92
8704,92
8807,92
8909,92
9011,92
9115,92
9217,92
9319,92
9421,92
9523,92
9626,92
9728,92
9830,92
9933,92
10036,91
10138,91
time,RSSI
0,92
299,92
595,92
891,92
1187,92
1483,92
1780,92
2076,92
2372,92
2668,92
2964,92
3261,92
3557,92
3853,92
4149,92
4445,92
4742,92
5039,92
5335,92
5631,92
5927,92
6224,92
6520,92
6817,92
7113,92
7410,92
7711,92
8007,92
8303,92
8601,90
8898,90
9194,90
9490,90
9786,90
10082,90
10379,90
10675,90
10972,90
11267,90
11563,90
11859,90
12155,90
12452,92
12749,92
13045,92
13341,92
13638,92
13934,92
14231,92
14527,93
14822,93
15118,93
15415,93
15712,93
16008,93
16305,93
16601,94
16898,94
17194,94
17490,94
17786,94
18082,94
18378,94
18675,94
18972,94
19268,94
19564,94
19861,94
20157,94
20454,94
20750,93
21046,93
21343,93
21639,93
21936,93
22233,93
22529,93
22825,93
23122,93
23420,93
23719,93
24015,93
24312,93
24608,93
24905,93
25201,93
25498,93
25794,93
26089,93
26385,93
26681,93
26978,93
27274,93
